ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
3173041003	DKI JAKARTA	JAKARTA BARAT	TAMBORA	DURI UTARA	1983	0	1950	28	5																							
3171081003	DKI JAKARTA	JAKARTA PUSAT	JOHAR BARU	GALUR	1578	0	1550	25	3																							
3171011001	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	GAMBIR	1610	0	1590	13	7																							
3174061004	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	GANDARIA SELATAN	3051	3	2994	37	17																							
3174071009	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	GANDARIA UTARA	5146	1	5055	61	29																							
3175051001	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	GEDONG	4647	4	4545	71	27																							
3171071001	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	GELORA	766	0	758	7	1																							
3173031007	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	GLODOK	1289	0	1261	22	6																							
3171061004	DKI JAKARTA	JAKARTA PUSAT	MENTENG	GONDANGDIA	1180	0	1154	8	18																							
3173021001	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	GROGOL	3490	4	3419	44	23																							
3174051005	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	GROGOL SELATAN	4736	1	4637	58	40																							
3174051004	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	GROGOL UTARA	4738	0	4637	63	38																							
3174021007	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	GUNTUR	687	4	667	9	7																							
3174071002	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	GUNUNG	3123	4	3059	29	31																							
3171031005	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	GUNUNG SAHARI SELATAN	2963	2	2897	46	18																							
3171021004	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	GUNUNG SAHARI UTARA	2608	3	2545	42	18																							
3175081004	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	HALIM PERDANA KUSUMAH	6452	11	6337	57	47																							
3171031003	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	HARAPAN MULIA	2669	0	2617	46	6																							
3174091001	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	JAGAKARSA	9153	2	8992	107	52																							
