ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan
3173051006	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KEDOYA UTARA	4736	55	4452	59	170	
3173051004	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KELAPA DUA	3132	11	2951	42	128	
3175091003	DKI JAKARTA	JAKARTA TIMUR	CIRACAS	KELAPA DUA WETAN	5812	22	5498	74	218	
3172061003	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	KELAPA GADING BARAT	6410	66	5940	62	342	
3172061001	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	KELAPA GADING TIMUR	6503	43	5974	68	418	
3173071005	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KEMANGGISAN	4389	23	4111	63	192	
3171031001	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	KEMAYORAN	3478	28	3315	44	91	
3173081006	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	KEMBANGAN SELATAN	3485	24	3271	27	163	
3173081001	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	KEMBANGAN UTARA	5280	26	4911	69	274	
3171041002	DKI JAKARTA	JAKARTA PUSAT	SENEN	KENARI	1683	11	1583	20	69	
3173041005	DKI JAKARTA	JAKARTA BARAT	TAMBORA	KERENDANG	1666	7	1601	20	38	
3175071003	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	KLENDER	6165	23	5761	114	267	
3172031001	DKI JAKARTA	JAKARTA UTARA	KOJA	KOJA	2546	11	2435	40	60	
3173071006	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KOTA BAMBU SELATAN	2253	9	2159	37	48	
3173071003	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KOTA BAMBU UTARA	2124	6	2048	36	34	
3171041004	DKI JAKARTA	JAKARTA PUSAT	SENEN	KRAMAT	2762	7	2650	45	60	
3175041001	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	KRAMAT JATI	4350	25	4086	70	169	
3174071003	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	KRAMAT PELA	1569	3	1466	12	88	
3173031002	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	KRUKUT	1825	6	1773	19	27	
3174031005	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	KUNINGAN BARAT	1353	1	1304	9	39	
3174021008	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KUNINGAN TIMUR	2277	11	2193	9	64	
3171041005	DKI JAKARTA	JAKARTA PUSAT	SENEN	KWITANG	1620	11	1545	24	40	
3172031003	DKI JAKARTA	JAKARTA UTARA	KOJA	LAGOA	4732	22	4497	85	128	
3174061002	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	LEBAK BULUS	5612	26	5260	55	271	
3174091004	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	LENTENG AGUNG	5417	22	5107	70	218	
LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	92027	6	91324	615	82	
3175101007	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	LUBANG BUAYA	7171	58	6765	75	273	
3175081001	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	MAKASAR	4558	21	4313	65	159	
3175071006	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	MALAKA JAYA	4162	25	3903	62	172	
3175071005	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	MALAKA SARI	3918	22	3616	71	209	
3174031001	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	MAMPANG PRAPATAN	2844	8	2716	34	86	
3173031005	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	MANGGA BESAR	1206	8	1145	15	38	
3171021005	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	MANGGA DUA SELATAN	2892	25	2744	40	83	
3174011007	DKI JAKARTA	JAKARTA SELATAN	TEBET	MANGGARAI	2436	8	2304	28	96	
3174011006	DKI JAKARTA	JAKARTA SELATAN	TEBET	MANGGARAI SELATAN	2574	6	2454	42	72	
3173031003	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	MAPHAR	1867	15	1777	30	45	
3172041003	DKI JAKARTA	JAKARTA UTARA	CILINCING	MARUNDA	1574	9	1477	21	67	
3174071001	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	MELAWAI	650	4	602	5	39	
3171061001	DKI JAKARTA	JAKARTA PUSAT	MENTENG	MENTENG	3009	18	2857	35	99	
3174021005	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	MENTENG ATAS	3608	16	3404	50	138	
3174011003	DKI JAKARTA	JAKARTA SELATAN	TEBET	MENTENG DALAM	4502	19	4225	53	205	
3173081003	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	MERUYA SELATAN	4248	22	4018	46	162	
3173081002	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	MERUYA UTARA	5518	41	5151	65	261	
3175101004	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	MUNJUL	3393	8	3222	36	127	
3172051002	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	PADEMANGAN BARAT	6728	35	6471	81	141	
3172051001	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	PADEMANGAN TIMUR	7677	37	7403	66	171	
3175011004	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	PAL MERIAM	2271	16	2144	32	79	
3173071001	DKI JAKARTA	JAKARTA BARAT	PALMERAH	PALMERAH	7374	32	6981	131	230	
3174081001	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	PANCORAN	2742	6	2598	33	105	
3172021003	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	PAPANGGO	3161	21	2996	38	106	
3171021001	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	PASAR BARU	2316	22	2203	25	66	
3174021006	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	PASAR MANGGIS	2815	10	2658	53	94	
3174041001	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	PASAR MINGGU	4257	13	3991	54	199	
3171041003	DKI JAKARTA	JAKARTA PUSAT	SENEN	PASEBAN	3492	33	3292	40	127	
3173061005	DKI JAKARTA	JAKARTA BARAT	KALI DERES	PEGADUNGAN	7002	46	6423	64	469	
3171061002	DKI JAKARTA	JAKARTA PUSAT	MENTENG	PEGANGSAAN	2731	20	2596	51	64	
3172061002	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	PEGANGSAAN DUA	6780	35	6270	74	401	
3172011004	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	PEJAGALAN	8587	69	8089	83	346	
3174041006	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	PEJATEN BARAT	4901	19	4593	60	229	
3174041005	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	PEJATEN TIMUR	5316	20	4951	95	250	
3175051005	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	PEKAYON	4091	11	3842	49	189	
3173041009	DKI JAKARTA	JAKARTA BARAT	TAMBORA	PEKOJAN	2624	21	2493	35	75	
3174031003	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	PELA MAMPANG	5657	16	5404	69	168	
3174081005	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	PENGADEGAN	3035	19	2842	40	134	
3175061003	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	PENGGILINGAN	7408	34	6996	113	265	
3172011001	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	PENJARINGAN	6555	20	6324	75	136	
3174101001	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	PESANGGRAHAN	3290	14	3114	38	124	
3171071004	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	PETAMBURAN	3124	6	3001	58	59	
3174071008	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	PETOGOGAN	1529	9	1436	18	66	
3171011004	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	PETOJO SELATAN	2298	5	2194	26	73	
3171011003	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	PETOJO UTARA	2048	12	1941	29	66	
3174101004	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	PETUKANGAN SELATAN	3865	8	3658	37	162	
3174101003	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	PETUKANGAN UTARA	5376	17	5144	50	165	
3175081002	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	PINANG RANTI	3123	9	2955	42	117	
3173031008	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	PINANGSIA	1145	9	1106	13	17	
3175011001	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	PISANGAN BARU	3493	15	3274	48	156	
3175021002	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	PISANGAN TIMUR	4657	25	4389	52	191	
3172011005	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	PLUIT	6702	49	6273	50	330	
3175071002	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	PONDOK BAMBU	7801	35	7203	116	447	
3175071004	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	PONDOK KELAPA	7776	42	7166	103	465	
3175071007	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	PONDOK KOPI	3411	16	3160	66	169	
3174061003	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	PONDOK LABU	5422	35	5059	69	259	
