ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
3175041003	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	DUKUH	2977	0	2932	43	2																							
3175071001	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	DUREN SAWIT	8494	2	8363	123	6																							
3174081004	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	DUREN TIGA	3806	0	3764	39	3																							
3173051005	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	DURI KEPA	7393	2	7297	86	8																							
3173011002	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	DURI KOSAMBI	6942	0	6847	87	8																							
3171011006	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	DURI PULO	2117	0	2084	33	0																							
3173041011	DKI JAKARTA	JAKARTA BARAT	TAMBORA	DURI SELATAN	1373	1	1350	22	0																							
3173041003	DKI JAKARTA	JAKARTA BARAT	TAMBORA	DURI UTARA	1975	0	1947	28	0																							
3171081003	DKI JAKARTA	JAKARTA PUSAT	JOHAR BARU	GALUR	1572	0	1547	25	0																							
3171011001	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	GAMBIR	1601	0	1588	13	0																							
3174061004	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	GANDARIA SELATAN	3012	0	2974	37	1																							
3174071009	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	GANDARIA UTARA	5088	1	5025	61	1																							
3175051001	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	GEDONG	4606	0	4534	71	1																							
3171071001	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	GELORA	762	0	754	7	1																							
3173031007	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	GLODOK	1276	0	1254	22	0																							
3171061004	DKI JAKARTA	JAKARTA PUSAT	MENTENG	GONDANGDIA	1141	0	1133	8	0																							
3173021001	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	GROGOL	3449	0	3402	44	3																							
3174051005	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	GROGOL SELATAN	4661	1	4600	58	2																							
3174051004	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	GROGOL UTARA	4657	0	4589	63	5																							
3174021007	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	GUNTUR	669	0	660	9	0																							
3174071002	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	GUNUNG	3058	0	3026	29	3																							
3171031005	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	GUNUNG SAHARI SELATAN	2934	0	2884	46	4																							
3171021004	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	GUNUNG SAHARI UTARA	2581	1	2538	42	0																							
3175081004	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	HALIM PERDANA KUSUMAH	6360	0	6293	57	10																							
3171031003	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	HARAPAN MULIA	2661	0	2615	46	0																							
3174091001	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	JAGAKARSA	9059	0	8950	107	2																							
3175021007	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	JATI	4782	0	4706	72	4																							
3174041002	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	JATI PADANG	5121	0	5053	65	3																							
3173071004	DKI JAKARTA	JAKARTA BARAT	PALMERAH	JATI PULO	2456	0	2403	51	2																							
3175061001	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	JATINEGARA	5651	0	5568	81	2																							
3175021004	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	JATINEGARA KAUM	2351	0	2310	41	0																							
3173021004	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	JELAMBAR	5138	2	5073	63	0																							
3173021006	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	JELAMBAR BARU	4942	0	4889	50	3																							
